id,type,wikidata_name_first,wikidata_name,mainsnak.property_text,wikidata_description_first,wikidata_description,wikidata_name2_first,wikidata_name2,mainsnak.datavalue.value.latitude,mainsnak.datavalue.value.longitude
Q2822709$6C266B41-BDBF-4B05-904C-ED409CCED988,statement,fr_Accident d'hélicoptère de la police au Kenya,"fr_Accident d'hélicoptère de la police au Kenya;en_2012 Kenya Police helicopter crash;sw_Ajali ya Helikopta ya Polisi 2012, Kenya;da_Politihelikopter-styrtet i Kenya 2012",coordinate location,,,,,-1.373503,36.639404
q1365115$5CF97B0E-F679-4EA1-889C-D1284FB02C20,statement,zh-hans_奈瓦沙湖,zh-hans_奈瓦沙湖;zh-hant_奈瓦夏湖;zh-hk_奈瓦沙湖;pl_Naivasha;fr_lac Naivasha;ru_Найваша;en_Lake Naivasha;lv_Naivašas ezers;sw_Ziwa Naivasha;de_Naivashasee;ja_ナイバシャ湖;bg_Найваша;ka_ნაივაშა;pnb_جھیل نائیواشہ;sv_Naivashasjön;ar_نيفاشا;da_Lake Naivasha;cs_Naivasha;be_Возера Найваша;zh_奈瓦夏湖;uk_Найваша;pt_Lago Naivasha;es_Lago Naivasha;lt_Naivaša;it_lago Naivasha;ceb_Lake Naivasha,coordinate location,,,zh_奈瓦沙湖,zh_奈瓦沙湖;ru_Наиваша;de_Lake Naivasha;de_Naivasha-See;ja_ナイヴァシャ湖;da_Naivashasøen,-0.76852777777778,36.350644444444
Q1559018$2EDF45D2-D19A-4A2D-9BD2-EAB8725E11A6,statement,de_Paxtu,de_Paxtu,coordinate location,,,,,-0.42249167,36.93669722
Q1666473$EB172A07-C01D-4BC1-9EAE-D053251B6DD5,statement,de_International Council of African Museums,de_International Council of African Museums;en_International Council of African Museums;ru_Международный совет африканских музеев;fr_International Council of African Museums,coordinate location,,,en_AFRICOM,en_AFRICOM,-1.2743,36.815
Q1701225$B3B52E1F-C164-46BB-8664-EB52C52BF5DE,statement,de_Nationalversammlung,de_Nationalversammlung;en_National Assembly;fr_Assemblée nationale du Kenya;ka_კენიის ეროვნული ასამბლეა;pl_Zgromadzenie Narodowe;sv_Kenyas nationalförsamling;nb_Kenyas nasjonalforsamling;zh-hant_國民大會 (肯亞);zh-cn_國民大會 (肯尼亞),coordinate location,,,en_National Assembly (Kenya),en_National Assembly (Kenya);en_National Assembly of Kenya,-1.29004722,36.82013056
q2877625$DA7A6817-D181-4710-A8AD-F278E0D2F09F,statement,nl_Luchthaven Nanyuki,nl_Luchthaven Nanyuki;en_Nanyuki Airport;pl_Port lotniczy Nanyuki;fa_فرودگاه نانیوکی;tg_Фурудгоҳи нонюки;ja_ナニュキ空港;ceb_Nanyuki Airport;sv_Nanyuki Airport;ms_Lapangan Terbang Nanyuki,coordinate location,,,,,-0.069444,37.034167
Q2877625$15A26BE0-4DF4-4109-8082-7CC4D56F6E5B,statement,nl_Luchthaven Nanyuki,nl_Luchthaven Nanyuki;en_Nanyuki Airport;pl_Port lotniczy Nanyuki;fa_فرودگاه نانیوکی;tg_Фурудгоҳи нонюки;ja_ナニュキ空港;ceb_Nanyuki Airport;sv_Nanyuki Airport;ms_Lapangan Terbang Nanyuki,coordinate location,,,,,-0.069362,37.034195
Q1825607$C35106D2-3CC5-4142-A659-42EF590D685C,statement,ka_ლიმურუ,ka_ლიმურუ;en_Limuru;es_Limuru;ca_Limuru;de_Limuru;sw_Limuru;sv_Limuru;pl_Limuru;nl_Limuru;fr_Limuru;ur_لیمورو;ceb_Limuru (lungsod);ja_リムル,coordinate location,nl_nederzetting in Kenia,nl_nederzetting in Kenia,"sw_Limuru, Kenya","sw_Limuru, Kenya",-1.1,36.65
Q1954506$933DD429-9913-4802-A43F-268AA0D53B1D,statement,nl_Karen Country Club,nl_Karen Country Club,coordinate location,,,,,-1.34501,36.71724
Q2575594$6C310183-3F7F-468B-B8DF-7905B8E97A96,statement,sw_Wilaya ya Kiambu,sw_Wilaya ya Kiambu;vi_Kiambu;en_Kiambu County;sv_Kiambu;it_Distretto di Kiambu;nl_Kiambu;nb_Kiambu fylke;ur_کیامبو کاؤنٹی;de_Kiambu County;zh_基安布郡;fi_Kiambun piirikunta;ko_키암부 현;ja_キアンブ (カウンティ);es_Condado de Kiambu;ceb_Kiambu (lalawigan),coordinate location,,,it_Kiambu District,it_Kiambu District;en_Kiambu District;de_Kiambu Distrikt,-1.16666667,36.83333333
