gettyid,prefLabel,altLabel,placeType,parentString,parentStringAbbrev,placeTypeNonPreferred,prefLabelGVP,latitude,longitude
1090512," ""Mkunumbi"" .",, <http://vocab.getty.edu/aat/300008347," ""Lamu, Kenya, Africa, World"" ."," ""Lamu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91415, -2.3, 40.7333
1090514," ""Moyale"" .",, <http://vocab.getty.edu/aat/300008347," ""Marsabit, Kenya, Africa, World"" ."," ""Marsabit, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91417, 3.5167, 39.0667
1090515," ""Mtito Andei"" .",, <http://vocab.getty.edu/aat/300008347," ""Makueni, Kenya, Africa, World"" ."," ""Makueni, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91418, -2.6833, 38.1667
1090516," ""Muhoro"" ."," ""Mohoru"" .", <http://vocab.getty.edu/aat/300008347," ""Migori, Kenya, Africa, World"" ."," ""Migori, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91419, -1.0167, 34.1167
1090517," ""Mukutan"" .",, <http://vocab.getty.edu/aat/300008347," ""Baringo, Kenya, Africa, World"" ."," ""Baringo, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91420, .6333, 36.2833
1090518," ""Mumias"" .",, <http://vocab.getty.edu/aat/300008347," ""Kakamega, Kenya, Africa, World"" ."," ""Kakamega, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91421, .3333, 34.4833
1090519," ""Murang'a"" ."," ""Muranga"" .", <http://vocab.getty.edu/aat/300008347," ""Murang'a, Kenya, Africa, World"" ."," ""Murang'a, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91422, -.7167, 37.15
1090520," ""Mutha"" .",, <http://vocab.getty.edu/aat/300008347," ""Kitui, Kenya, Africa, World"" ."," ""Kitui, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91423, -1.7833, 38.4333
1090521," ""Muvukoni"" .",, <http://vocab.getty.edu/aat/300008347," ""Kitui, Kenya, Africa, World"" ."," ""Kitui, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91424, -.4, 38.2333
1090522," ""Mwereni"" .",, <http://vocab.getty.edu/aat/300008347," ""Kwale, Kenya, Africa, World"" ."," ""Kwale, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91425, -4.3667, 39.0833
